iter	RMSE	RMSE
0	0.2926717738	0.2926717738
1	0.2905784687	0.2905784687
2	0.2885535722	0.2885535722
3	0.2865961726	0.2865961726
4	0.2847036538	0.2847036538
5	0.2828711244	0.2828711244
6	0.2811020287	0.2811020287
7	0.2793897301	0.2793897301
8	0.2777183165	0.2777183165
9	0.2760995973	0.2760995973
10	0.2745359103	0.2745359103
11	0.2730397453	0.2730397453
12	0.2715915778	0.2715915778
13	0.270183301	0.270183301
14	0.2688259355	0.2688259355
15	0.2675045653	0.2675045653
16	0.2662366201	0.2662366201
17	0.2649999846	0.2649999846
18	0.2638153099	0.2638153099
19	0.2626699136	0.2626699136
20	0.2615647318	0.2615647318
21	0.2604881049	0.2604881049
22	0.2594410813	0.2594410813
23	0.2584372077	0.2584372077
24	0.257475785	0.257475785
25	0.2565371823	0.2565371823
26	0.2556267093	0.2556267093
27	0.2547656969	0.2547656969
28	0.2539130864	0.2539130864
29	0.2530903593	0.2530903593
30	0.2522967021	0.2522967021
31	0.2515385541	0.2515385541
32	0.2508112076	0.2508112076
33	0.2500988251	0.2500988251
34	0.2494145106	0.2494145106
35	0.2487413188	0.2487413188
36	0.2480872671	0.2480872671
37	0.2474574815	0.2474574815
38	0.2468529774	0.2468529774
39	0.2462779233	0.2462779233
40	0.2457255777	0.2457255777
41	0.2451816775	0.2451816775
42	0.2446611252	0.2446611252
43	0.2441543792	0.2441543792
44	0.2436656985	0.2436656985
45	0.2432003863	0.2432003863
46	0.2427454049	0.2427454049
47	0.2423090964	0.2423090964
48	0.2418853499	0.2418853499
49	0.2414737282	0.2414737282
50	0.2410754528	0.2410754528
51	0.2406955908	0.2406955908
52	0.2403194343	0.2403194343
53	0.2399682329	0.2399682329
54	0.2396187371	0.2396187371
55	0.2392839593	0.2392839593
56	0.2389651778	0.2389651778
57	0.2386581673	0.2386581673
58	0.2383530149	0.2383530149
59	0.2380615732	0.2380615732
60	0.2377806316	0.2377806316
61	0.2375152548	0.2375152548
62	0.2372533111	0.2372533111
63	0.2370014997	0.2370014997
64	0.2367572286	0.2367572286
65	0.2365220703	0.2365220703
66	0.2362943277	0.2362943277
67	0.2360705978	0.2360705978
68	0.2358561734	0.2358561734
69	0.2356470805	0.2356470805
70	0.2354507833	0.2354507833
71	0.2352573355	0.2352573355
72	0.2350738535	0.2350738535
73	0.234894565	0.234894565
74	0.2347208678	0.2347208678
75	0.2345531199	0.2345531199
76	0.2343780566	0.2343780566
77	0.2342037929	0.2342037929
78	0.2340502028	0.2340502028
79	0.2338882084	0.2338882084
80	0.2337311392	0.2337311392
81	0.2335877816	0.2335877816
82	0.233441958	0.233441958
83	0.2333037771	0.2333037771
84	0.2331730611	0.2331730611
85	0.2330448084	0.2330448084
86	0.2329193082	0.2329193082
87	0.232796824	0.232796824
88	0.2326796763	0.2326796763
89	0.23255968	0.23255968
90	0.2324552097	0.2324552097
91	0.2323400363	0.2323400363
92	0.2321834146	0.2321834146
93	0.2320349504	0.2320349504
94	0.2318914278	0.2318914278
95	0.2317537537	0.2317537537
96	0.231618865	0.231618865
97	0.2314902513	0.2314902513
98	0.2313647393	0.2313647393
99	0.2312402601	0.2312402601
100	0.2311240823	0.2311240823
101	0.2310116279	0.2310116279
102	0.2309028588	0.2309028588
103	0.2307924937	0.2307924937
104	0.2306879288	0.2306879288
105	0.2305901704	0.2305901704
106	0.2304929834	0.2304929834
107	0.2303966291	0.2303966291
108	0.230304664	0.230304664
109	0.2302192184	0.2302192184
110	0.2301340763	0.2301340763
111	0.2300458689	0.2300458689
112	0.229961744	0.229961744
113	0.2298875903	0.2298875903
114	0.2298075942	0.2298075942
115	0.2297332311	0.2297332311
116	0.2296589183	0.2296589183
117	0.2295887785	0.2295887785
118	0.22952524	0.22952524
119	0.2294606756	0.2294606756
120	0.2293943389	0.2293943389
121	0.2293316498	0.2293316498
122	0.2292744602	0.2292744602
123	0.229214849	0.229214849
124	0.2291576581	0.2291576581
125	0.22910587	0.22910587
126	0.2290518213	0.2290518213
127	0.229000936	0.229000936
128	0.2289445937	0.2289445937
129	0.2288958296	0.2288958296
130	0.2288476631	0.2288476631
131	0.2287961532	0.2287961532
132	0.2287528124	0.2287528124
133	0.2287004519	0.2287004519
134	0.2286597773	0.2286597773
135	0.2286089818	0.2286089818
136	0.2285578077	0.2285578077
137	0.2285230096	0.2285230096
138	0.2284818763	0.2284818763
139	0.2284404664	0.2284404664
140	0.2283996765	0.2283996765
141	0.2283673899	0.2283673899
142	0.2283282971	0.2283282971
143	0.2282870433	0.2282870433
144	0.2282563777	0.2282563777
145	0.2282142411	0.2282142411
146	0.2281781902	0.2281781902
147	0.2281494785	0.2281494785
148	0.2281199195	0.2281199195
149	0.2280939895	0.2280939895
150	0.2280618673	0.2280618673
151	0.2280308868	0.2280308868
152	0.2280040331	0.2280040331
153	0.2279803567	0.2279803567
154	0.2279356258	0.2279356258
155	0.2278913215	0.2278913215
156	0.2278421073	0.2278421073
157	0.2277887666	0.2277887666
158	0.2277505622	0.2277505622
159	0.2277097691	0.2277097691
160	0.227656003	0.227656003
161	0.2276229299	0.2276229299
162	0.2275858585	0.2275858585
163	0.2275422375	0.2275422375
164	0.2275030047	0.2275030047
165	0.2274689064	0.2274689064
166	0.2274335399	0.2274335399
167	0.2273993939	0.2273993939
168	0.2273645573	0.2273645573
169	0.2273235432	0.2273235432
170	0.2272902827	0.2272902827
171	0.2272504796	0.2272504796
172	0.2272145913	0.2272145913
173	0.2271815197	0.2271815197
174	0.2271490304	0.2271490304
175	0.2271132546	0.2271132546
176	0.2270804448	0.2270804448
177	0.2270438825	0.2270438825
178	0.2270109847	0.2270109847
179	0.2269853406	0.2269853406
180	0.2269546844	0.2269546844
181	0.2269256747	0.2269256747
182	0.2268971619	0.2268971619
183	0.2268742308	0.2268742308
184	0.2268469504	0.2268469504
185	0.2268247147	0.2268247147
186	0.2267958429	0.2267958429
187	0.2267711056	0.2267711056
188	0.2267396316	0.2267396316
189	0.2267136822	0.2267136822
190	0.2266842142	0.2266842142
191	0.2266549666	0.2266549666
192	0.2266231993	0.2266231993
193	0.2265886231	0.2265886231
194	0.2265565934	0.2265565934
195	0.2265218707	0.2265218707
196	0.2264944252	0.2264944252
197	0.226464131	0.226464131
198	0.2264339105	0.2264339105
199	0.226405215	0.226405215
200	0.2263778831	0.2263778831
201	0.226354381	0.226354381
202	0.2263217112	0.2263217112
203	0.2263004024	0.2263004024
204	0.2262789958	0.2262789958
205	0.2262549439	0.2262549439
206	0.2262336563	0.2262336563
207	0.226207572	0.226207572
208	0.2261840763	0.2261840763
209	0.2261629792	0.2261629792
210	0.2261438352	0.2261438352
211	0.2261264998	0.2261264998
212	0.2261064289	0.2261064289
213	0.2260892867	0.2260892867
214	0.2260736414	0.2260736414
215	0.2260582317	0.2260582317
216	0.2260385646	0.2260385646
217	0.2260214639	0.2260214639
218	0.2260064696	0.2260064696
219	0.225989354	0.225989354
220	0.2259751941	0.2259751941
