iter	Passed	Remaining
0	20006	13984484
1	36257	12653995
2	51572	11982106
3	66063	11495036
4	81836	11375204
5	96863	11203935
6	111532	11041723
7	125997	10898795
8	140481	10785892
9	154986	10694092
10	168504	10554526
11	181521	10407255
12	195697	10341847
13	209651	10272937
14	225083	10278806
15	239678	10246262
16	254772	10235862
17	272400	10320946
18	289867	10389468
19	309296	10516067
20	327656	10594241
21	344594	10619782
22	364788	10737475
23	383976	10815347
24	401100	10829712
25	418405	10846348
26	436961	10891675
27	450549	10813184
28	466932	10803858
29	483641	10801319
30	500482	10800739
31	521748	10891500
32	537698	10868024
33	554396	10859651
34	574678	10918899
35	590694	10895032
36	606295	10864156
37	622751	10848988
38	641173	10867075
39	658036	10857609
40	675613	10859253
41	693816	10869792
42	713633	10903652
43	730995	10898482
44	747524	10880640
45	766736	10900992
46	783524	10885993
47	802830	10905117
48	819386	10886133
49	835913	10866874
50	854496	10873890
51	872505	10872755
52	888573	10847307
53	906183	10840645
54	923564	10830897
55	943054	10845125
56	960359	10833526
57	977190	10816489
58	993564	10794488
59	1013045	10805821
60	1030477	10794675
61	1047610	10780253
62	1064276	10761019
63	1082011	10752490
64	1100176	10747876
65	1115425	10714845
66	1131813	10693108
67	1148092	10670509
68	1162700	10632812
69	1180345	10623110
70	1196598	10600849
71	1214319	10591564
72	1231312	10575789
73	1245759	10538455
74	1261828	10515234
75	1277046	10485225
76	1294668	10475042
77	1312134	10463431
78	1326970	10430996
79	1344957	10423421
80	1363262	10418019
81	1379207	10394514
82	1395808	10376071
83	1411252	10349182
84	1426720	10322742
85	1443380	10305066
86	1460794	10292725
87	1477058	10272270
88	1494351	10258977
89	1509932	10233987
90	1526689	10217076
91	1546924	10223154
92	1562264	10196718
93	1577231	10168110
94	1592800	10143623
95	1608127	10117801
96	1623018	10089489
97	1638206	10063269
98	1653142	10035741
99	1668598	10011592
100	1683232	9982738
101	1697511	9952079
102	1712541	9926089
103	1726605	9894780
104	1740548	9863109
105	1754341	9830930
106	1769377	9805987
107	1783648	9777033
108	1798686	9752508
109	1812246	9720231
110	1826659	9692815
111	1839960	9659790
112	1854114	9631550
113	1869572	9610258
114	1883706	9582330
115	1899542	9563211
116	1912687	9530744
117	1928208	9510318
118	1942496	9483954
119	1957922	9463291
120	1973269	9442337
121	1987679	9417039
122	2002660	9394592
123	2018710	9377237
124	2033494	9354075
125	2048064	9330071
126	2062461	9305436
127	2077136	9282204
128	2092242	9261010
129	2106906	9237972
130	2121872	9216377
131	2137862	9199288
132	2151632	9172748
133	2166908	9152762
134	2180728	9126753
135	2196898	9110668
136	2212490	9092205
137	2226180	9066038
138	2239900	9040173
139	2255213	9020855
140	2270387	9001038
141	2285002	8979094
142	2300410	8960340
143	2315659	8941020
144	2331341	8923409
145	2347740	8908550
146	2362130	8886109
147	2376339	8863102
148	2392088	8845910
149	2406139	8822509
150	2422088	8806137
151	2437335	8787236
152	2452601	8768449
153	2466628	8745320
154	2479242	8717338
155	2492458	8691651
156	2508383	8675491
157	2525570	8663664
158	2538127	8636019
159	2552645	8615179
160	2567184	8594487
161	2581571	8573368
162	2595168	8549726
163	2610466	8531769
164	2627018	8517908
165	2642175	8499527
166	2655099	8474061
167	2669145	8452294
168	2684987	8436263
169	2701160	8421266
170	2714836	8398529
171	2730707	8382636
172	2747547	8369697
173	2765119	8358924
174	2781722	8345167
175	2797519	8328978
176	2812731	8311064
177	2828213	8293973
178	2845890	8283290
179	2862037	8268107
180	2878078	8252612
181	2894791	8239022
182	2912092	8227057
183	2927731	8210377
184	2943172	8193156
185	2959747	8179088
186	2975771	8163479
187	2992775	8150536
188	3011524	8142270
189	3011524	8142270
190	3028337	8112757
191	3049744	8111362
192	3066801	8098272
193	3083183	8083371
194	3098983	8066942
195	3115334	8051942
196	3133630	8041919
197	3149846	8026512
198	3166611	8012486
199	3181437	7993560
200	3196986	7976482
201	3212089	7958310
202	3228039	7942255
203	3242756	7923187
204	3260134	7910621
205	3277405	7897748
206	3292289	7879121
207	3308473	7863618
208	3325449	7849978
209	3343170	7838054
210	3358971	7821605
211	3374444	7804403
212	3392409	7792941
213	3408933	7778130
214	3424933	7762114
215	3440608	7745370
216	3458546	7733693
217	3475700	7720218
218	3492067	7704974
219	3510549	7694354
220	3526358	7677844
